team,division,season,ncaa_id,height,major,jersey,name,url,position,class,hometown,high_school
Albertus Magnus,III,2024,588331,,,11,Anthony Barreira,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/barreira_anthony_bng8,M/F,Gr.,"Trumbull, Conn.",Trumbull
Albertus Magnus,III,2024,588331,,,12,Shawn Lungu,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/lungu_shawn_0bt5,M,Fr.,"Newington, Conn.",Newington
Albertus Magnus,III,2024,588331,,,13,Colby Nardelli,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/nardelli_colby_xrhf,M/D,So.,"Berlin, Conn.",Berlin
Albertus Magnus,III,2024,588331,,,14,Elian Nava,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/nava_elian_u2vy,M,Jr.,"Meriden, Conn.",Platt
Albertus Magnus,III,2024,588331,,,15,Gabriel Paglia,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/paglia_gabriel_sy6d,D,Sr.,"Amity, Conn.",Amity
Albertus Magnus,III,2024,588331,,,16,Casey Rintharamy,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/rintharamy_casey_jfpm,D,Jr.,"Meriden, Conn.",Platt
Albertus Magnus,III,2024,588331,,,17,McWill Adu-Asare,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/mcwill_adu-asare_38tt,F,So.,"East Hartford, Conn.",East Hartford
Albertus Magnus,III,2024,588331,,,18,Dorian Wilczynski,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/wilcynzi_dorian_lzmi,M,So.,"Bristol, Conn.",Bristol Central
Albertus Magnus,III,2024,588331,,,19,Nickolas Korponay,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/korponay_nickolas_khmp,F,Fr.,"Hamden, Conn.",Hamden
Albertus Magnus,III,2024,588331,,,20,Emmanuelle Gordon,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/gordon_emmanuelle_xclq,D,Fr.,"West Haven, Conn.",West Haven
Albertus Magnus,III,2024,588331,,,21,Erik Dahlgard,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/dahlgard_erik_8bp1,D,Sr.,"Merrimac, Mass.",Pentucket Regional
Albertus Magnus,III,2024,588331,,,22,Grant Barnhart,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/barnhart_grant_4x4g,M,Fr.,"Bloomfield, Conn.",Northwest Catholic
Albertus Magnus,III,2024,588331,,,23,Leotrim Gashi,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/gashi_leotrim_gy3s,M,So.,"Skenderaj, Kosovo",Seymour
Albertus Magnus,III,2024,588331,,,24,Lorenzo Lauria,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/lauria_lorenzo_ga58,F,So.,"New Haven, Conn.",Wilbur Cross
Albertus Magnus,III,2024,588331,,,26,Matheus Pimenta,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/pimenta_matheus_r3ff,F,Fr.,"Branford, Conn.",Notre Dame Catholic
Albertus Magnus,III,2024,588331,,,27,Alex Ordonez,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/ordonez_alex_bffx,F,Fr.,"Norwalk, Conn.",Brien McMahon
Albertus Magnus,III,2024,588331,,,77,Donaldo Yanez,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/yanez_donaldo_n38k,F,Jr.,"West Haven, Conn.",West Haven
Albertus Magnus,III,2024,588331,,,88,Nicholas Boudreau,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/boudreau_nicholas_3qev,F,So.,"Clinton, Conn.",The Morgan School
Albertus Magnus,III,2024,588331,,,99,Julius McNeill,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/mcneill_julius_wa8i,F,So.,"East Hartford, Conn.",East Hartford
American Int'l,II,2024,588199,,,,,,Goalkeeper,Gr,Hometown,"High School/Previous School: Amherst, MA / Amherst Regional /"
American Int'l,II,2024,588199,,,,,,Defense,Gr,Hometown,"High School/Previous School: Sheffield, England / Dinnington / Quincy (GLVC) /"
American Int'l,II,2024,588199,,,,,,Midfield,Jr,Hometown,"High School/Previous School: Sandefjord, Norway / SVGS /"
American Int'l,II,2024,588199,,,,,,Defense,So,Hometown,"High School/Previous School: Cascais, Portugal / Escola Secund‡ria de Tondela /"
American Int'l,II,2024,588199,,,,,,Defense,Jr,Hometown,"High School/Previous School: Montpelier, VT / Montpelier /"
American Int'l,II,2024,588199,,,,,,Defense,So,Hometown,"High School/Previous School: Stockholm, Sweden / Sjolins Gymnasium Nacka /"
American Int'l,II,2024,588199,,,,,,Midfield,Jr,Hometown,"High School/Previous School: Somers, CT / Somers /"
American Int'l,II,2024,588199,,,,,,Midfield,So,Hometown,"High School/Previous School: Windsor, CT / Jamaica College /"
American Int'l,II,2024,588199,,,,,,Forward,Fr,Hometown,"High School/Previous School: Cuneo, Italy / Liceo Peano Pellico /"
American Int'l,II,2024,588199,,,,,,Midfield,Jr,Hometown,"High School/Previous School: Port Chester, NY / Port Chester Senior /"
American Int'l,II,2024,588199,,,,,,Forward,Fr,Hometown,"High School/Previous School: Limassol, Cyprus / American Academy Limassol /"
American Int'l,II,2024,588199,,,,,,Midfield/Defense,So,Hometown,"High School/Previous School: Newington, CT / Newington /"
American Int'l,II,2024,588199,,,,,,Midfield,Jr,Hometown,"High School/Previous School: Arlington, VA / St. John's College HS /"
American Int'l,II,2024,588199,,,,,,Midfield,Jr,Hometown,"High School/Previous School: New Rochelle, NY / New Rochelle /"
American Int'l,II,2024,588199,,,,,,Defense,Jr,Hometown,"High School/Previous School: Boston, MA / Fenway /"
American Int'l,II,2024,588199,,,,,,Midfield,Fr,Hometown,"High School/Previous School: Lulea, Sweden / Lulea Gymnasieskola /"
American Int'l,II,2024,588199,,,,,,Midfield/Forward,So,Hometown,"High School/Previous School: York, ME / York /"
American Int'l,II,2024,588199,,,,,,Midfield,Fr,Hometown,"High School/Previous School: Lecco, Italy / Liceo Scientifico Grassi Lecco /"
American Int'l,II,2024,588199,,,,,,,Fr,Hometown,"High School/Previous School: Deerfield Beach, FL / /"
American Int'l,II,2024,588199,,,,,,Defense,Fr,Hometown,"High School/Previous School: Karlstad, Sweden / Sundsta Aelvkullegymnasiet /"
American Int'l,II,2024,588199,,,,,,Midfield,So,Hometown,High School/Previous School: Costa Rica / Nueva Esperanza /
American Int'l,II,2024,588199,,,,,,Forward,So,Hometown,"High School/Previous School: Holyoke, MA / Easthampton /"
American Int'l,II,2024,588199,,,,,,Defense,Jr,Hometown,"High School/Previous School: Northfield, MA / Pioneer Valley Regional /"
American Int'l,II,2024,588199,,,,,,Midfield,So,Hometown,"High School/Previous School: Manchester, NH / Manchester Memorial /"
American Int'l,II,2024,588199,,,,,,Midfield,So,Hometown,"High School/Previous School: Brockton, MA / Brockton /"
American Int'l,II,2024,588199,,,,,,Forward/Midfield,So,Hometown,"High School/Previous School: Brooklyn, NY / St. Andrews /"
American Int'l,II,2024,588199,,,,,,Forward,Jr,Hometown,"High School/Previous School: Lowell, MA / Greater Lowell Technical /"
American Int'l,II,2024,588199,,,,,,Forward/Midfield,So,Hometown,"High School/Previous School: Newmarket, NH / Newmarket Junior Senior /"
American Int'l,II,2024,588199,,,,,,,So,Hometown,"High School/Previous School: Rye Brook, NY / Port Chester /"
American Int'l,II,2024,588199,,,,,,Midfield,So,Hometown,"High School/Previous School: Windsor Locks, CT / Windsor Locks /"
American Int'l,II,2024,588199,,,,,,Forward,So,Hometown,"High School/Previous School: Gray, ME / Gray/New Gloucester /"
American Int'l,II,2024,588199,,,,,,Midfield,Fr,Hometown,"High School/Previous School: Mount Laurel, NJ / Cherokee /"
American Int'l,II,2024,588199,,,,,,Midfield,Fr,Hometown,"High School/Previous School: Miami Playa, Spain / Institucio Tarragona /"
American Int'l,II,2024,588199,,,,,,,Fr,Hometown,"High School/Previous School: Bonn, Germany / /"
American Int'l,II,2024,588199,,,,,,Midfield,Fr,Hometown,"High School/Previous School: Linkoping, Sweden / Linkoping Fria Laeroverken /"
American Int'l,II,2024,588199,,,,,,Forward,Fr,Hometown,"High School/Previous School: Port Chester, NY / Port Chester /"
American Int'l,II,2024,588199,,,,,,Forward,Fr,Hometown,"High School/Previous School: Farnham Common, England / Millfield /"
American Int'l,II,2024,588199,,,,,,,Fr,Hometown,"High School/Previous School: Vatra Dornei, Romania / /"
American Int'l,II,2024,588199,,,,,,,Fr,Hometown,High School/Previous School: / /
American Int'l,II,2024,588199,,,,,,,Fr,Hometown,"High School/Previous School: Danbury, CT / /"
American Int'l,II,2024,588199,,,,,,Defense/Forward,Fr,Hometown,"High School/Previous School: Windsor Locks, CT / Windsor Locks /"
American Int'l,II,2024,588199,,,,,,Forward,Fr,Hometown,"High School/Previous School: Troy, NY / KIPP Troy Prep /"
American Int'l,II,2024,588199,,,,,,,Fr,Hometown,"High School/Previous School: Bridgewater, MA / /"
American Int'l,II,2024,588199,,,,,,,Fr,Hometown,"High School/Previous School: London, England / /"
American Int'l,II,2024,588199,,,,,,Forward,Fr,Hometown,"High School/Previous School: Marlborough, MA / Marlborough /"
American Int'l,II,2024,588199,,,,,,Midfield,Jr,Hometown,"High School/Previous School: Manchester, CT / Manchester /"
American Int'l,II,2024,588199,,,,,,Defense,Fr,Hometown,"High School/Previous School: Miller Place, NY / Miller Place /"
American Int'l,II,2024,588199,,,,,,,Fr,Hometown,"High School/Previous School: Meriden, CT / /"
American Int'l,II,2024,588199,,,,,,,Fr,Hometown,"High School/Previous School: Worcester, MA / /"
American Int'l,II,2024,588199,,,,,,Goalie,Gr,Hometown,"High School/Previous School: Gleichen, Germany / Max Planck Gymnasium Göttingen /"
American Int'l,II,2024,588199,,,,,,Goalie,So,Hometown,"High School/Previous School: Ashburnham, MA / Oakmont Regional /"
American Int'l,II,2024,588199,,,,,,Goalie,Fr,Hometown,"High School/Previous School: Glens Falls, NY / Glens Falls /"
American Int'l,II,2024,588199,,,,,,Goalie,Fr,Hometown,"High School/Previous School: Bellport, NY / /"
Anderson (IN),III,2024,939,,,,,,,,"Garrett, Ind.",Garrett
Anderson (IN),III,2024,939,,,,,,,,"New Palestine, Ind.",New Palestine
Anderson (IN),III,2024,939,,,,,,,,"Fountaintown, Ind.",New Palestine
Anderson (IN),III,2024,939,,,,,,,,"Fairfield, Ohio",Cincinnati Christian School
Anderson (IN),III,2024,939,,,,,,,,"West Chester, Ohio",Cincinnati Christian School
Anderson (IN),III,2024,939,,,,,,,,"Fairfield, Ohio",Cincinnati Christian School
Anderson (IN),III,2024,939,,,,,,,,"Beavercreek, Ohio",Beavercreek
Anderson (IN),III,2024,939,,,,,,,,"Indianapolis, Ind.",Pike
Anderson (IN),III,2024,939,,,,,,,,"Beavercreek, Ohio",Beavercreek
Anderson (IN),III,2024,939,,,,,,,,"Knightstown, Ind.",Knightstown
Anderson (IN),III,2024,939,,,,,,,,"Greenfield, Ind.",New Palestine
Anderson (IN),III,2024,939,,,,,,,,"Lebanon, Ohio",Cincinnati Christian School
Anderson (IN),III,2024,939,,,,,,,,"Louisville, Ky.",Trinity
Anderson (IN),III,2024,939,,,,,,,,"Carmel, Ind.",Carmel
Anderson (IN),III,2024,939,,,,,,,,"Gahanna, Ohio",Westerville North
Anderson (IN),III,2024,939,,,,,,,,"Carmel, Ind.",Carmel
Anderson (IN),III,2024,939,,,,,,,,"Muncie, Ind.",Muncie Central
Anderson (IN),III,2024,939,,,,,,,,"Monroe, Ohio",Monroe
Anderson (IN),III,2024,939,,,,,,,,"Oak Park, Ill.",Oak Park-River Forest
Anderson (IN),III,2024,939,,,,,,,,"Terre Haute, Ind.",South Vigo
Anderson (IN),III,2024,939,,,,,,,,"Seymour, Ind.",Seymour
Anderson (IN),III,2024,939,,,,,,,,"Columbus, Ohio",Worthington
Anderson (IN),III,2024,939,,,,,,,,"West Lafayette, Ind.",Harrison
Anderson (IN),III,2024,939,,,,,,,,"Indianapolis, Ind.",Covenant Christian
Anderson (IN),III,2024,939,,,,,,,,"Hobart, Ind.",Hobart
Anderson (IN),III,2024,939,,,,,,,,"Hobart, Ind.",Hobart
Anderson (IN),III,2024,939,,,,,,,,"Anderson, Ind.",Liberty Christian School
Anderson (IN),III,2024,939,,,,,,,,"Wheatfield, Ind.",Kankakee Valley
Anderson (IN),III,2024,939,,,,,,,,"Perrysville, Ind.",Covington Community
Anderson (IN),III,2024,939,,,,,,,,"West Chester, Ohio",Cincinnati Christian School
Anderson (IN),III,2024,939,,,,,,,,"New Palestine, Ind.",New Palestine
Anderson (IN),III,2024,939,,,,,,,,"New Palestine, Ind.",New Palestine
Anderson (IN),III,2024,939,,,,,,,,"Sidney, Ohio",Sidney
Anderson (IN),III,2024,939,,,,,,,,"Muncie, Ind.",Muncie Central
Anderson (IN),III,2024,939,,,,,,,,"Greenwood, Ind.",Whiteland Community
Anderson (IN),III,2024,939,,,,,,,,"Purcellville, Va.",Evergreen Christian School
Anderson (IN),III,2024,939,,,,,,,,"Wauseon, Ohio",Wauseon
Anderson (IN),III,2024,939,,,,,,,,"Lafayette, Ind.",Faith Christian School
Anderson (IN),III,2024,939,,,,,,,,"Trenton, Ohio",Edgewood
Anderson (IN),III,2024,939,,,,,,,,"Bloomington, Ind.",Bloomington North
Anna Maria,III,2024,588439,,,,,,GK,Sophomore,"Fayetteville, NC",E. Smith High School
Anna Maria,III,2024,588439,,,,,,GK,Junior,"Woodstock, CT",Woodstock Academy
Anna Maria,III,2024,588439,,,,,,Goalkeeper,Grad,"Norwood, MA",Lynn University
Anna Maria,III,2024,588439,,,,,,D,Senior,"Medford, MA",Medford High School
Anna Maria,III,2024,588439,,,,,,D,Sophomore,"Centerville, MA",Sturgis Charter School East HS
Anna Maria,III,2024,588439,,,,,,D,Junior,Pennsylvania,Delaware Valley
Anna Maria,III,2024,588439,,,,,,D,Senior,"Rumford, Rhode Island",E-Cubed Academy
Anna Maria,III,2024,588439,,,,,,D,Freshman,"Pascoag, Rhode Island",Burrillville High School
Anna Maria,III,2024,588439,,,,,,D,Senior,"Lynn, MA",Lynn Classical High School
Anna Maria,III,2024,588439,,,,,,CM,Junior,"Cuenca, Ecuador",Borja High School
Anna Maria,III,2024,588439,,,,,,CM,Freshman,"Viersen, Germany",Albertus Magnus HS
Anna Maria,III,2024,588439,,,,,,FW,Senior,"Holden, MA",Montachusett Regional Voc Tech
Anna Maria,III,2024,588439,,,,,,FW,Junior,"Newark, NJ",Arts High School
Anna Maria,III,2024,588439,,,,,,CM,Junior,"West Yarmouth, MA",Dennis-Yarmouth Regional High School
Anna Maria,III,2024,588439,,,,,,FW,Junior,"Harrisburg, PA",Central Dauphin High School
Anna Maria,III,2024,588439,,,,,,CM,Senior,"East Falmouth, MA",Mashpee High School
Anna Maria,III,2024,588439,,,,,,FW,Senior,"Succasunna, NJ",Roxbury High School
Anna Maria,III,2024,588439,,,,,,FW,Junior,"Lancaster, MA",Nashoba Regional High School
Anna Maria,III,2024,588439,,,,,,D,Junior,"West Yarmouth, MA",Dennis Yarmouth Regional HS
Anna Maria,III,2024,588439,,,,,,CM,Sophomore,"Cumberland, RI",Cumberland High School
Anna Maria,III,2024,588439,,,,,,FW,Senior,"Newark, DE",Henry C Conrad Schools of Science HS
Anna Maria,III,2024,588439,,,,,,FW,Junior,South Yarmouth,Sturgis Charter School East HS
Anna Maria,III,2024,588439,,,,,,D,Sophomore,"Forked River, NJ",Lacey Township High School
Anna Maria,III,2024,588439,,,,,,FW,Freshman,"Metepec, Mexico",Instituto Cumbres Toluca HS
Anna Maria,III,2024,588439,,,,,,D,Senior,"Westborough, MA",Westborough High School
Anna Maria,III,2024,588439,,,,,,MD,Freshman,"Accra, MA",Medford Voc Tech High School
Anna Maria,III,2024,588439,,,,,,FW,Sophomore,"Bayville, NJ",Central Regional High School
Anna Maria,III,2024,588439,,,,,,FW,Freshman,"West Yarmouth, MA",Dennis Yarmouth Regional HS
Anna Maria,III,2024,588439,,,,,,FW,Freshman,"Wethersfield, CT",Wethersfield High School
Anna Maria,III,2024,588439,,,,,,FW,Sophomore,"East Falmouth, MA",Sturgis Charter School East
Anna Maria,III,2024,588439,,,,,,GK,Freshman,"Miami Shores, FL",US Performance Academy HS
Anna Maria,III,2024,588439,,,,,,GK,Freshman,"Wall Township, NJ",Wall High School
Anna Maria,III,2024,588439,,,,,,D,Freshman,"Fabregues, France",Lycée Sportif Jean Mermo HS
Anna Maria,III,2024,588439,,,,,,ACM,Freshman,"Millis, MA",Millis High School
Anna Maria,III,2024,588439,,,,,,D,Freshman,"San Francisco, CA","Teneo Online School Johannesburg, South Africa"
Anna Maria,III,2024,588439,,,,,,FW,Freshman,"Budapest, Hungary",Hunfalvy János Bilingual Secondary Vocational School of Economics HS
Austin,III,2024,588361,,,2,Daniel Gomez,https://www.acroos.com/sports/msoc/2024-25/bios/gomez_daniel_z2px,M,Sr,"North Richland Hills, Texas",Birdville
Austin,III,2024,588361,,,3,Will Woulfe,https://www.acroos.com/sports/msoc/2024-25/bios/woulfe_will_b2wj,D,Jr,"Richardson, Texas",JJ Pearce
Austin,III,2024,588361,,,4,Josue Bravo,https://www.acroos.com/sports/msoc/2024-25/bios/bravo_josue_obxo,D,Sr,"Dallas, Texas",Molina
Austin,III,2024,588361,,,5,Samuel Vazquez,https://www.acroos.com/sports/msoc/2024-25/bios/vazquez_samuel_l02z,D,So,"Cypress, Texas",Cy-Lakes
Austin,III,2024,588361,,,6,Pedro Echeverria,https://www.acroos.com/sports/msoc/2024-25/bios/echeverria_pedro_bvef,F,Jr,"Irving, Texas",The Highlands School
Austin,III,2024,588361,,,7,Pierce Wear,https://www.acroos.com/sports/msoc/2024-25/bios/wear_pierce_57al,M,Jr,"North Richland Hills, Texas",Birdville
Austin,III,2024,588361,,,8,Jorge Pineda,https://www.acroos.com/sports/msoc/2024-25/bios/pineda_jorge_jaxk,M,Jr,"Brownsville, Texas",Brownsville Hannah
Austin,III,2024,588361,,,9,Louis Catchpole,https://www.acroos.com/sports/msoc/2024-25/bios/catchpole_louis_d0z6,F,Sr,"Kent, England",Friendswood
Austin,III,2024,588361,,,10,Colin Nguyen,https://www.acroos.com/sports/msoc/2024-25/bios/nguyen_colin_n4ng,M,Fr,"Frisco, Texas",Lebanon Trail
Austin,III,2024,588361,,,11,Max Mundorff,https://www.acroos.com/sports/msoc/2024-25/bios/mundorff_max_f4ht,F,Jr,"Huntsville, Texas",Huntsville
Austin,III,2024,588361,,,12,Justin Ajdukovich,https://www.acroos.com/sports/msoc/2024-25/bios/ajdukovich_justin_cleg,D,Jr,"Frisco, Texas",
Austin,III,2024,588361,,,13,Kyle Nimon,https://www.acroos.com/sports/msoc/2024-25/bios/nimon_kyle_82v2,M,Sr,"North Richland Hills, Texas",Birdville
Austin,III,2024,588361,,,14,Michael Valencia,https://www.acroos.com/sports/msoc/2024-25/bios/valencia_michael_yfuq,D,Sr,"Sherman, Texas",Grayson
Austin,III,2024,588361,,,15,Ben Cordell,https://www.acroos.com/sports/msoc/2024-25/bios/cordell_ben_fbsz,F,Jr,"San Antonio, Texas",Central Catholic
Austin,III,2024,588361,,,16,Joshua Campbell,https://www.acroos.com/sports/msoc/2024-25/bios/campbell_joshua_eelf,D,So,"Cypress, Texas",Cy-Fair
Austin,III,2024,588361,,,17,Jonah Ferrante,https://www.acroos.com/sports/msoc/2024-25/bios/ferrante_jonah_8uiv,M,Fr,"Cedar Park, Texas",Cedar Park
Austin,III,2024,588361,,,18,Jeremiah Facundo,https://www.acroos.com/sports/msoc/2024-25/bios/facundo_jeremiah_wqlb,M,Fr,"Dallas, Texas",Skyline
Austin,III,2024,588361,,,19,Matheus Braid,https://www.acroos.com/sports/msoc/2024-25/bios/braid_matheus_vca6,M,Fr,"Frisco, Texas",Frisco
Austin,III,2024,588361,,,20,Alejandro Beracochea,https://www.acroos.com/sports/msoc/2024-25/bios/beracochea_alejandro_tgdc,M,Jr,"McKinney, Texas",McKinney
Austin,III,2024,588361,,,21,Sam Renno,https://www.acroos.com/sports/msoc/2024-25/bios/renno_sam_en30,M,Fr,"New Braunfels, Texas",New Braunfels
Austin,III,2024,588361,,,22,Jose Nandin,https://www.acroos.com/sports/msoc/2024-25/bios/nandin_jose_24rg,M,Sr,"Sherman, Texas",Sherman
Austin,III,2024,588361,,,23,Leo Renteria,https://www.acroos.com/sports/msoc/2024-25/bios/renteria_leo_ax8n,M,Jr,"Princeton, Texas",Princeton
Austin,III,2024,588361,,,24,Adam Morales,https://www.acroos.com/sports/msoc/2024-25/bios/morales_adam_htjl,D,So,"Houston, Texas",Cristo Rey Jesuit
Austin,III,2024,588361,,,25,Ethan Hamby,https://www.acroos.com/sports/msoc/2024-25/bios/hamby_ethan_tuou,D,Fr,"Harlingen, Texas",Harlingen
Austin,III,2024,588361,,,26,Asher Engelbrecht,https://www.acroos.com/sports/msoc/2024-25/bios/engelbrecht_asher_qybh,D,So,"Frisco, Texas",Lebanon Trail
Austin,III,2024,588361,,,27,Eduardo Sciotta,https://www.acroos.com/sports/msoc/2024-25/bios/sciotta_eduardo_a6bj,F,Fr,"Richmond, Texas",George Ranch
Austin,III,2024,588361,,,28,Leboko Moncho,https://www.acroos.com/sports/msoc/2024-25/bios/moncho_leboko_p2tp,D,Fr,"Keller, Texas",Keller Central
Austin,III,2024,588361,,,29,Kaleb Arredondo,https://www.acroos.com/sports/msoc/2024-25/bios/arredondo_kaleb_csoh,D,Fr,"Arlington, Texas",Arlington
Austin,III,2024,588361,,,31,Jayson Baldwin,https://www.acroos.com/sports/msoc/2024-25/bios/baldwin_jayson_kjy5,GK,So,"Seattle, Wash.",Bellarmine Preparatory
Austin,III,2024,588361,,,34,Ethan Davila,https://www.acroos.com/sports/msoc/2024-25/bios/davila_ethan_k5b2,GK,Fr,"Alamo Heights, Texas",Alamo Heights
Austin,III,2024,588361,,,35,Cayden Woolard,https://www.acroos.com/sports/msoc/2024-25/bios/woolard_cayden_p66t,M,Fr,"Stonewall, La.",North DeSoto
Austin,III,2024,588361,,,36,Marco Guzman,https://www.acroos.com/sports/msoc/2024-25/bios/guzman_marco_mal4,M,Fr,"Keller, Texas",Keller Central
Austin,III,2024,588361,,,37,Oscar Moreno,https://www.acroos.com/sports/msoc/2024-25/bios/moreno_oscar_eekg,D,So,"Dallas, Texas",JBS Law Magnet
Austin,III,2024,588361,,,38,Diego Rios,https://www.acroos.com/sports/msoc/2024-25/bios/rios_diego_rosm,D,Fr,"Little Elm, Texas",Little Elm
Austin,III,2024,588361,,,39,Chandler Sutherland,https://www.acroos.com/sports/msoc/2024-25/bios/sutherland_chandler_l422,M,Fr,"Montgomery, Texas",Lake Creek
Austin,III,2024,588361,,,40,Roman Quintana,https://www.acroos.com/sports/msoc/2024-25/bios/quintana_roman_rukm,F,Fr,"Sherman, Texas",Sherman
Austin,III,2024,588361,,,41,Sam Spencer,https://www.acroos.com/sports/msoc/2024-25/bios/spencer_sam_wbsh,D,Jr,"Heath, Texas",Rockwall Heath
Austin,III,2024,588361,,,42,Noah Jimenez,https://www.acroos.com/sports/msoc/2024-25/bios/jimenez_noah_9kwi,M,So,"Lavon, Texas",Sachse
Austin,III,2024,588361,,,43,Luis Garza-Rios,https://www.acroos.com/sports/msoc/2024-25/bios/garza-rios_luis_b5vm,F,Fr,"Spring, Texas",College Park
Austin,III,2024,588361,,,44,Uddipan Sarma,https://www.acroos.com/sports/msoc/2024-25/bios/sarma_uddipan_8h3m,D,Fr,"Frisco, Texas",Frisco
Austin,III,2024,588361,,,45,Claudio Rodriguez,https://www.acroos.com/sports/msoc/2024-25/bios/rodriguez_claudio_quz4,M,Fr,"Burleson, Texas",Burleson Centennial
Austin,III,2024,588361,,,46,Zander Urrutia,https://www.acroos.com/sports/msoc/2024-25/bios/urrutia_zander_iqxi,D,Fr,"Alice, Texas",Alice
Bethany (WV),III,2024,588449,,,,,,M,Sr.,"Moron, Buenos Aires, Argentina",INAC-CIATA
Bethany (WV),III,2024,588449,,,,,,D,Sr.,"Caba, Argentina",Colegio San Miguel
Bethany (WV),III,2024,588449,,,,,,D,Fr.,"New Orleans, La.",Military & Maritime Act.
Bethany (WV),III,2024,588449,,,,,,D,Sr.,"Escobar, Buenos Aires, Argentina",Colegio Arrayanes
Bethany (WV),III,2024,588449,,,,,,D,Sr.,"Liberta Village, Antigua",Antigua State College
Bethany (WV),III,2024,588449,,,,,,M,Sr.,"Buenos Aires, Argentina",Instituto Madera
Bethany (WV),III,2024,588449,,,,,,F,Sr.,"Toronto, Canada",Niagara Community College (Canada)
Bethany (WV),III,2024,588449,,,,,,M,Jr.,"Madrid, Spain",Brains International
Bethany (WV),III,2024,588449,,,,,,M,Sr.,"Buenos Aires, Argentina",Campus Lincoln
Bethany (WV),III,2024,588449,,,,,,F,Jr.,"All Saints, Antigua",Princess Margaret
Bethany (WV),III,2024,588449,,,,,,GK,Sr.,"Pergamino, Argentina",Colegio San Jose Maristas
Bethany (WV),III,2024,588449,,,,,,D,Jr.,"Salta, Argentina",Colegio Parroquial San Alfonso
Bethany (WV),III,2024,588449,,,,,,F,Fr.,"Annandale, VA",Annandale
Bethany (WV),III,2024,588449,,,,,,D,Fr.,"Waldorf, Md.",Westlake
Bethany (WV),III,2024,588449,,,,,,F,Jr.,"St. John's, Antigua",Antigua Grammar
Bethany (WV),III,2024,588449,,,,,,M,So.,"Leesburg, Va.",Heritage
