jersey,name,url,position,class,hometown,high_school,team,division,season
20,Emmanuelle Gordon,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/gordon_emmanuelle_xclq,D,Fr.,"West Haven, Conn.",West Haven,Albertus Magnus,III,2024
21,Erik Dahlgard,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/dahlgard_erik_8bp1,D,Sr.,"Merrimac, Mass.",Pentucket Regional,Albertus Magnus,III,2024
22,Grant Barnhart,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/barnhart_grant_4x4g,M,Fr.,"Bloomfield, Conn.",Northwest Catholic,Albertus Magnus,III,2024
23,Leotrim Gashi,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/gashi_leotrim_gy3s,M,So.,"Skenderaj, Kosovo",Seymour,Albertus Magnus,III,2024
24,Lorenzo Lauria,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/lauria_lorenzo_ga58,F,So.,"New Haven, Conn.",Wilbur Cross,Albertus Magnus,III,2024
26,Matheus Pimenta,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/pimenta_matheus_r3ff,F,Fr.,"Branford, Conn.",Notre Dame Catholic,Albertus Magnus,III,2024
27,Alex Ordonez,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/ordonez_alex_bffx,F,Fr.,"Norwalk, Conn.",Brien McMahon,Albertus Magnus,III,2024
77,Donaldo Yanez,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/yanez_donaldo_n38k,F,Jr.,"West Haven, Conn.",West Haven,Albertus Magnus,III,2024
88,Nicholas Boudreau,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/boudreau_nicholas_3qev,F,So.,"Clinton, Conn.",The Morgan School,Albertus Magnus,III,2024
99,Julius McNeill,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/mcneill_julius_wa8i,F,So.,"East Hartford, Conn.",East Hartford,Albertus Magnus,III,2024
2,Daniel Gomez,https://www.acroos.com/sports/msoc/2024-25/bios/gomez_daniel_z2px,M,Sr,"North Richland Hills, Texas",Birdville,Austin,III,2024
3,Will Woulfe,https://www.acroos.com/sports/msoc/2024-25/bios/woulfe_will_b2wj,D,Jr,"Richardson, Texas",JJ Pearce,Austin,III,2024
4,Josue Bravo,https://www.acroos.com/sports/msoc/2024-25/bios/bravo_josue_obxo,D,Sr,"Dallas, Texas",Molina,Austin,III,2024
5,Samuel Vazquez,https://www.acroos.com/sports/msoc/2024-25/bios/vazquez_samuel_l02z,D,So,"Cypress, Texas",Cy-Lakes,Austin,III,2024
6,Pedro Echeverria,https://www.acroos.com/sports/msoc/2024-25/bios/echeverria_pedro_bvef,F,Jr,"Irving, Texas",The Highlands School,Austin,III,2024
7,Pierce Wear,https://www.acroos.com/sports/msoc/2024-25/bios/wear_pierce_57al,M,Jr,"North Richland Hills, Texas",Birdville,Austin,III,2024
8,Jorge Pineda,https://www.acroos.com/sports/msoc/2024-25/bios/pineda_jorge_jaxk,M,Jr,"Brownsville, Texas",Brownsville Hannah,Austin,III,2024
9,Louis Catchpole,https://www.acroos.com/sports/msoc/2024-25/bios/catchpole_louis_d0z6,F,Sr,"Kent, England",Friendswood,Austin,III,2024
10,Colin Nguyen,https://www.acroos.com/sports/msoc/2024-25/bios/nguyen_colin_n4ng,M,Fr,"Frisco, Texas",Lebanon Trail,Austin,III,2024
11,Max Mundorff,https://www.acroos.com/sports/msoc/2024-25/bios/mundorff_max_f4ht,F,Jr,"Huntsville, Texas",Huntsville,Austin,III,2024
12,Justin Ajdukovich,https://www.acroos.com/sports/msoc/2024-25/bios/ajdukovich_justin_cleg,D,Jr,"Frisco, Texas",,Austin,III,2024
13,Kyle Nimon,https://www.acroos.com/sports/msoc/2024-25/bios/nimon_kyle_82v2,M,Sr,"North Richland Hills, Texas",Birdville,Austin,III,2024
14,Michael Valencia,https://www.acroos.com/sports/msoc/2024-25/bios/valencia_michael_yfuq,D,Sr,"Sherman, Texas",Grayson,Austin,III,2024
15,Ben Cordell,https://www.acroos.com/sports/msoc/2024-25/bios/cordell_ben_fbsz,F,Jr,"San Antonio, Texas",Central Catholic,Austin,III,2024
16,Joshua Campbell,https://www.acroos.com/sports/msoc/2024-25/bios/campbell_joshua_eelf,D,So,"Cypress, Texas",Cy-Fair,Austin,III,2024
17,Jonah Ferrante,https://www.acroos.com/sports/msoc/2024-25/bios/ferrante_jonah_8uiv,M,Fr,"Cedar Park, Texas",Cedar Park,Austin,III,2024
18,Jeremiah Facundo,https://www.acroos.com/sports/msoc/2024-25/bios/facundo_jeremiah_wqlb,M,Fr,"Dallas, Texas",Skyline,Austin,III,2024
19,Matheus Braid,https://www.acroos.com/sports/msoc/2024-25/bios/braid_matheus_vca6,M,Fr,"Frisco, Texas",Frisco,Austin,III,2024
20,Alejandro Beracochea,https://www.acroos.com/sports/msoc/2024-25/bios/beracochea_alejandro_tgdc,M,Jr,"McKinney, Texas",McKinney,Austin,III,2024
21,Sam Renno,https://www.acroos.com/sports/msoc/2024-25/bios/renno_sam_en30,M,Fr,"New Braunfels, Texas",New Braunfels,Austin,III,2024
22,Jose Nandin,https://www.acroos.com/sports/msoc/2024-25/bios/nandin_jose_24rg,M,Sr,"Sherman, Texas",Sherman,Austin,III,2024
23,Leo Renteria,https://www.acroos.com/sports/msoc/2024-25/bios/renteria_leo_ax8n,M,Jr,"Princeton, Texas",Princeton,Austin,III,2024
24,Adam Morales,https://www.acroos.com/sports/msoc/2024-25/bios/morales_adam_htjl,D,So,"Houston, Texas",Cristo Rey Jesuit,Austin,III,2024
25,Ethan Hamby,https://www.acroos.com/sports/msoc/2024-25/bios/hamby_ethan_tuou,D,Fr,"Harlingen, Texas",Harlingen,Austin,III,2024
26,Asher Engelbrecht,https://www.acroos.com/sports/msoc/2024-25/bios/engelbrecht_asher_qybh,D,So,"Frisco, Texas",Lebanon Trail,Austin,III,2024
27,Eduardo Sciotta,https://www.acroos.com/sports/msoc/2024-25/bios/sciotta_eduardo_a6bj,F,Fr,"Richmond, Texas",George Ranch,Austin,III,2024
28,Leboko Moncho,https://www.acroos.com/sports/msoc/2024-25/bios/moncho_leboko_p2tp,D,Fr,"Keller, Texas",Keller Central,Austin,III,2024
29,Kaleb Arredondo,https://www.acroos.com/sports/msoc/2024-25/bios/arredondo_kaleb_csoh,D,Fr,"Arlington, Texas",Arlington,Austin,III,2024
31,Jayson Baldwin,https://www.acroos.com/sports/msoc/2024-25/bios/baldwin_jayson_kjy5,GK,So,"Seattle, Wash.",Bellarmine Preparatory,Austin,III,2024
34,Ethan Davila,https://www.acroos.com/sports/msoc/2024-25/bios/davila_ethan_k5b2,GK,Fr,"Alamo Heights, Texas",Alamo Heights,Austin,III,2024
35,Cayden Woolard,https://www.acroos.com/sports/msoc/2024-25/bios/woolard_cayden_p66t,M,Fr,"Stonewall, La.",North DeSoto,Austin,III,2024
36,Marco Guzman,https://www.acroos.com/sports/msoc/2024-25/bios/guzman_marco_mal4,M,Fr,"Keller, Texas",Keller Central,Austin,III,2024
37,Oscar Moreno,https://www.acroos.com/sports/msoc/2024-25/bios/moreno_oscar_eekg,D,So,"Dallas, Texas",JBS Law Magnet,Austin,III,2024
38,Diego Rios,https://www.acroos.com/sports/msoc/2024-25/bios/rios_diego_rosm,D,Fr,"Little Elm, Texas",Little Elm,Austin,III,2024
39,Chandler Sutherland,https://www.acroos.com/sports/msoc/2024-25/bios/sutherland_chandler_l422,M,Fr,"Montgomery, Texas",Lake Creek,Austin,III,2024
40,Roman Quintana,https://www.acroos.com/sports/msoc/2024-25/bios/quintana_roman_rukm,F,Fr,"Sherman, Texas",Sherman,Austin,III,2024
41,Sam Spencer,https://www.acroos.com/sports/msoc/2024-25/bios/spencer_sam_wbsh,D,Jr,"Heath, Texas",Rockwall Heath,Austin,III,2024
42,Noah Jimenez,https://www.acroos.com/sports/msoc/2024-25/bios/jimenez_noah_9kwi,M,So,"Lavon, Texas",Sachse,Austin,III,2024
43,Luis Garza-Rios,https://www.acroos.com/sports/msoc/2024-25/bios/garza-rios_luis_b5vm,F,Fr,"Spring, Texas",College Park,Austin,III,2024
44,Uddipan Sarma,https://www.acroos.com/sports/msoc/2024-25/bios/sarma_uddipan_8h3m,D,Fr,"Frisco, Texas",Frisco,Austin,III,2024
45,Claudio Rodriguez,https://www.acroos.com/sports/msoc/2024-25/bios/rodriguez_claudio_quz4,M,Fr,"Burleson, Texas",Burleson Centennial,Austin,III,2024
46,Zander Urrutia,https://www.acroos.com/sports/msoc/2024-25/bios/urrutia_zander_iqxi,D,Fr,"Alice, Texas",Alice,Austin,III,2024
00,Sean Smith,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/smith_sean_fow2,Goalkeeper,Fr,"Wixom, Mich.",Walled Lake Western,Bluffton,III,2024
0,Gabriel Rivera,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/rivera_gabriel_fs5d,Goalkeeper,Sr,"Fort Wayne, IN",Bishop Luers,Bluffton,III,2024
1,Angel Velasco-Urbina,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/velasco-urbina_angel_k05b,Goalkeeper,Sr,"Lexington, Ky.",Henry Clay,Bluffton,III,2024
2,Mathias Garcia,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/garcia_mathias_pemk,Forward,So,"Fort Wayne, Ind.",New Haven,Bluffton,III,2024
3,Christian Smits,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/smits_christian_a4sv,Midfield,Fr,"Trufant, Mich.",Big Rapids,Bluffton,III,2024
4,Devin Homan,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/homan_devin_fiy4,Defender,Fr,"Dayton, Ohio",Stebbins,Bluffton,III,2024
5,Collin Scheid,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/scheid_collin_em5x,Defender,So,"Lima, Ohio",Shawnee,Bluffton,III,2024
6,Brenen Wilson,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/wilson_brenen_6uqu,Midfield,Fr,"Dayton, Ohio",Stebbins,Bluffton,III,2024
7,Andrew Ireland,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/ireland_andrew_ryw4,Midfield,Sr,"Coshocton, Ohio",River View,Bluffton,III,2024
8,JJ Meyer,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/meyer_jj_clw9,Midfield,Sr,"Cincinnati, Ohio",Oak Hills,Bluffton,III,2024
9,Benjamin Davidson,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/davidson_benjamin_s37t,Midfield,Sr,"Greenville, Ohio",Greenville,Bluffton,III,2024
10,Jackson Clark,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/clark_jackson_jyd5,Midfield,Sr,"Mount Blanchard, Ohio",Riverdale,Bluffton,III,2024
11,Brycen Boyle,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/boyle_brycen_j4lx,Midfield,Sr,"Middletown, Ohio",Middletown,Bluffton,III,2024
13,Joshua Webster,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/webster_joshua_wnpt,Midfield,Sr,"Sidney, Ohio",Sidney,Bluffton,III,2024
17,Aidan Smith,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/smith_aidan_zfy8,Midfield,Sr,"Springfield, Ohio",Kenton Ridge,Bluffton,III,2024
18,Luke Banschbach,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/banschbach_luke_dzde,Midfield,So,"Cincinnati, Ohio",Oak Hills,Bluffton,III,2024
19,Quinn Taylor,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/taylor_quinn_sy13,Forward,Fr,"Findlay, Ohio",Liberty-Benton,Bluffton,III,2024
22,Briant Eyrich,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/eyrich_briant_inm1,Midfield,Fr,"Xenia, Ohio",Xenia,Bluffton,III,2024
23,Matthew Dennis,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/dennis_matthew_hbaj,Midfield,Sr,"Suffolk, VA",Nansemond-Suffolk Academy,Bluffton,III,2024
27,Andrew Phillips,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/phillips_andrew_s4g1,Defender,Jr,"Westfield, IN",Westfield,Bluffton,III,2024
28,Marcelo Ortiz,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/ortiz_marcelo_54tp,Midfield,Fr,"Leon, Mexico",,Bluffton,III,2024
29,Leonardo Campos,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/campos_leonardo_81pf,Midfield,Jr,"Santiago, Chile",Campbellsville University,Bluffton,III,2024
31,Alex Brown,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/brown_alex_x3a9,Midfield,Jr,"Delaware, Ohio",Buckeye Valley,Bluffton,III,2024
99,Zach Johnson,https://www.blufftonbeavers.com/sports/msoc/2024-25/bios/johnson_zach_ck4d,Goalkeeper,So,"Middletown, Ohio",Middletown,Bluffton,III,2024
#:0,Daniel Beverage,https://www.bsubears.com/sports/msoc/2024-25/bios/Beverage_Daniel,GK,,"Wallingford, CT",Lyman Hall,Bridgewater State,III,2024
#:1,Lukas Ekmanis,https://www.bsubears.com/sports/msoc/2024-25/bios/Ekmanis_Lukas,GK,,"Baxter, TN",Upperman,Bridgewater State,III,2024
#:2,Gavin Norton,https://www.bsubears.com/sports/msoc/2024-25/bios/Norton_Gavin,D,,"Rockland, MA",Rockland,Bridgewater State,III,2024
#:3,Tyler Chang,https://www.bsubears.com/sports/msoc/2024-25/bios/Chang_Tyler,D/M,,"Acushnet, MA",Fairhaven,Bridgewater State,III,2024
#:4,Jack O'Toole,https://www.bsubears.com/sports/msoc/2024-25/bios/O-Toole_Jack,D,,"Wilbraham, MA",Minnechaug Regional,Bridgewater State,III,2024
#:5,Justin Silva,https://www.bsubears.com/sports/msoc/2024-25/bios/Silva_Justin,D,,"North Attleboro, MA",North Attleboro,Bridgewater State,III,2024
#:6,Colin Evans,https://www.bsubears.com/sports/msoc/2024-25/bios/Evans_Colin,F,,"East Longmeadow, MA",East Longmeadow,Bridgewater State,III,2024
#:7,Dominek Borden,https://www.bsubears.com/sports/msoc/2024-25/bios/Borden_Dominek,F,,"New Bedford, MA",Greater New Bedford Regional Voc. Tech.,Bridgewater State,III,2024
#:8,Ryan Healy,https://www.bsubears.com/sports/msoc/2024-25/bios/Healy_Ryan,M,,"Cork, Ireland",Plymouth North (MA),Bridgewater State,III,2024
#:9,Hector Bucio,https://www.bsubears.com/sports/msoc/2024-25/bios/Bucio_Hector,D/F,,"North Easton, MA",Oliver Ames,Bridgewater State,III,2024
#:10,Nicolas Matias,https://www.bsubears.com/sports/msoc/2024-25/bios/Matias_Nicolas,M,,"Framingham, MA",Framingham,Bridgewater State,III,2024
#:11,Brett Ghelfi,https://www.bsubears.com/sports/msoc/2024-25/bios/Ghelfi_Brett,F/M,,"Halifax, MA",Silver Lake Regional,Bridgewater State,III,2024
#:12,Carsten Boloz,https://www.bsubears.com/sports/msoc/2024-25/bios/Boloz_Carsten,M,,"Southborough, MA",Algonquin Regional,Bridgewater State,III,2024
#:13,Thomas Neves,https://www.bsubears.com/sports/msoc/2024-25/bios/Neves_Thomas,F/M,,"Medway, MA",Medway,Bridgewater State,III,2024
#:14,Jacob Ramos,https://www.bsubears.com/sports/msoc/2024-25/bios/Ramos_Jacob,D,,"New Bedford, MA",New Bedford,Bridgewater State,III,2024
#:15,Connor Wesloski,https://www.bsubears.com/sports/msoc/2024-25/bios/Wesloski_Connor,F/M,,"Wilbraham, MA",Minnechaug Regional,Bridgewater State,III,2024
#:16,Nick Anselmo,https://www.bsubears.com/sports/msoc/2024-25/bios/Anselmo_Nick,D/M,,"Tyngsborough, MA",Tyngsborough,Bridgewater State,III,2024
#:17,Ethan DeMelo,https://www.bsubears.com/sports/msoc/2024-25/bios/DeMelo_Ethan,M,,"Acushnet, MA",New Bedford,Bridgewater State,III,2024
#:18,Ethan Mallett,https://www.bsubears.com/sports/msoc/2024-25/bios/Mallett_Ethan,D/M,,"Ellington, CT",Ellington,Bridgewater State,III,2024
#:19,Dermott Amorim,https://www.bsubears.com/sports/msoc/2024-25/bios/Amorim_Dermott,M,,"Wrentham, MA",King Philip Regional,Bridgewater State,III,2024
#:20,Jacob Silvestre,https://www.bsubears.com/sports/msoc/2024-25/bios/Silvestre_Jacob,D/M,,"Seekonk, MA",Seekonk,Bridgewater State,III,2024
#:21,Nicholas Ribeiro,https://www.bsubears.com/sports/msoc/2024-25/bios/Ribeiro_Nicholas,M,,"Bellingham, MA",Milford,Bridgewater State,III,2024
#:22,Filippo Mucci,https://www.bsubears.com/sports/msoc/2024-25/bios/Mucci_Filippo,F/M,,"Vineyard Haven, MA",Martha's Vineyard Regional,Bridgewater State,III,2024
#:23,Mason Lemieux,https://www.bsubears.com/sports/msoc/2024-25/bios/Lemieux_Mason,F,,"Hingham, MA",Hingham,Bridgewater State,III,2024
#:24,Frankie Morales,https://www.bsubears.com/sports/msoc/2024-25/bios/Morales_Frankie,D,,"Brockton, MA",Brockton,Bridgewater State,III,2024
#:25,Nate Dinis,https://www.bsubears.com/sports/msoc/2024-25/bios/Dinis_Nate,M,,"Milford, MA",Milford,Bridgewater State,III,2024
#:27,James Billiter,https://www.bsubears.com/sports/msoc/2024-25/bios/Billiter_James,D/M,,"Irvine, CA",University,Bridgewater State,III,2024
#:29,Melvin Alves,https://www.bsubears.com/sports/msoc/2024-25/bios/Alves_Melvin,D/F,,"Brockton, MA",Cardinal Spellman,Bridgewater State,III,2024
#:30,Tyler Rocchio,https://www.bsubears.com/sports/msoc/2024-25/bios/Rocchio_Tyler,GK,,"Attleboro, MA",Attleboro,Bridgewater State,III,2024
#:44,Matheus Rodrigues,https://www.bsubears.com/sports/msoc/2024-25/bios/Rodrigues_Matheus,GK,,"Edgartown, MA",Martha's Vineyard Regional,Bridgewater State,III,2024
1,Casey Clemo,https://www.gocentenary.com/sports/msoc/2024-25/bios/clemo_casey_bf05,GK,Sr.,,,Centenary (LA),III,2024
2,Brandon Guevara,https://www.gocentenary.com/sports/msoc/2024-25/bios/guevara_brandon_dzkj,MF,Jr.,,,Centenary (LA),III,2024
3,Aidan Miller,https://www.gocentenary.com/sports/msoc/2024-25/bios/miller_aidan_9n3q,D,So.,,,Centenary (LA),III,2024
4,Brennan Amato,https://www.gocentenary.com/sports/msoc/2024-25/bios/amato_brennan_uctr,MF,Sr.,,,Centenary (LA),III,2024
5,Dylan Clark,https://www.gocentenary.com/sports/msoc/2024-25/bios/clark_dylan_4u5d,D,So.,,,Centenary (LA),III,2024
6,Jacob Ramsey,https://www.gocentenary.com/sports/msoc/2024-25/bios/ramsey_jacob_ieaj,MF,So.,,,Centenary (LA),III,2024
7,Ron Masti,https://www.gocentenary.com/sports/msoc/2024-25/bios/masti_ron_msa8,F,Sr.,,,Centenary (LA),III,2024
8,Angel Lerma,https://www.gocentenary.com/sports/msoc/2024-25/bios/lerma_angel_7wjj,MF,So.,,,Centenary (LA),III,2024
9,Nathan Uduojie,https://www.gocentenary.com/sports/msoc/2024-25/bios/uduojie_nathan_29fm,F,Fr.,,,Centenary (LA),III,2024
10,Carter Webb,https://www.gocentenary.com/sports/msoc/2024-25/bios/webb_carter_v8qi,F,So.,,,Centenary (LA),III,2024
11,Connor Buche,https://www.gocentenary.com/sports/msoc/2024-25/bios/buche_connor_sb7q,F,Sr.,,,Centenary (LA),III,2024
13,Hunter Booth,https://www.gocentenary.com/sports/msoc/2024-25/bios/booth_hunter_bgmf,MF,Sr.,,,Centenary (LA),III,2024
14,Alex Alvarez,https://www.gocentenary.com/sports/msoc/2024-25/bios/alvarez_alex_b5ym,MF,So.,,,Centenary (LA),III,2024
16,Fernando Santos,https://www.gocentenary.com/sports/msoc/2024-25/bios/santos_fernando_vot7,F,So.,,,Centenary (LA),III,2024
17,Gabriel Aragon,https://www.gocentenary.com/sports/msoc/2024-25/bios/aragon_gabriel_vnz7,F,Sr.,,,Centenary (LA),III,2024
18,Joshua Mensah,https://www.gocentenary.com/sports/msoc/2024-25/bios/mensah_joshua_ya67,MF,Fr.,,,Centenary (LA),III,2024
19,Hayden Hughes,https://www.gocentenary.com/sports/msoc/2024-25/bios/hughes_hayden_o6ek,MF,Fr.,,,Centenary (LA),III,2024
20,Hayden McConnell,https://www.gocentenary.com/sports/msoc/2024-25/bios/mcconnell_hayden_5up4,D,So.,,,Centenary (LA),III,2024
21,Eoin Hamill,https://www.gocentenary.com/sports/msoc/2024-25/bios/hamill_eoin_5s85,F,Jr.,,,Centenary (LA),III,2024
22,Eli Melton,https://www.gocentenary.com/sports/msoc/2024-25/bios/melton_eli_bbq0,D,Jr.,,,Centenary (LA),III,2024
23,Christopher Tarr,https://www.gocentenary.com/sports/msoc/2024-25/bios/tarr_christopher_8ig2,D,Sr.,,,Centenary (LA),III,2024
24,Kevin Huskey Jr.,https://www.gocentenary.com/sports/msoc/2024-25/bios/huskey_kj_ipgm,MF,Fr.,,,Centenary (LA),III,2024
25,Emiliano Mondragon,https://www.gocentenary.com/sports/msoc/2024-25/bios/mondragon_emiliano_am34,MF,Fr.,,,Centenary (LA),III,2024
30,Odin Munguia,https://www.gocentenary.com/sports/msoc/2024-25/bios/munguia_odin_w6sg,F,Sr.,,,Centenary (LA),III,2024
36,Aaron Gonzales,https://www.gocentenary.com/sports/msoc/2024-25/bios/gonzales_aaron_19pu,D,So.,,,Centenary (LA),III,2024
38,Sebastian Lutin,https://www.gocentenary.com/sports/msoc/2024-25/bios/lutin_sebastian_5ocm,GK,Fr.,,,Centenary (LA),III,2024
39,Devin Soliz,https://www.gocentenary.com/sports/msoc/2024-25/bios/soliz_devin_6m15,GK,So.,,,Centenary (LA),III,2024
40,Sam Brocato,https://www.gocentenary.com/sports/msoc/2024-25/bios/brocato_sam_9x6m,GK,Sr.,,,Centenary (LA),III,2024
41,Isaac Lilly,https://www.gocentenary.com/sports/msoc/2024-25/bios/lilly_isaac_d6oj,GK,So.,,,Centenary (LA),III,2024
00,Emilio Hernandez-Araujo,https://www.gowasps.com/sports/msoc/2024-25/bios/hernandez-araujo_emilio_61ue,GK,,,,Emory & Henry,II,2024
1,Josiah Wilson,https://www.gowasps.com/sports/msoc/2024-25/bios/wilson_josiah_a8sl,GK,,,,Emory & Henry,II,2024
2,Cameron Blalock,https://www.gowasps.com/sports/msoc/2024-25/bios/blalock_cameron_snrl,F,,,,Emory & Henry,II,2024
3,Eli Stout,https://www.gowasps.com/sports/msoc/2024-25/bios/stout_elijah_7aaq,D/F,,,,Emory & Henry,II,2024
4,Clarence Russell,https://www.gowasps.com/sports/msoc/2024-25/bios/russell_clarence_f19v,D,,,,Emory & Henry,II,2024
5,Sam Molz,https://www.gowasps.com/sports/msoc/2024-25/bios/molz_sam_7sqv,D,,,,Emory & Henry,II,2024
6,Francisco Beron de Astrada Aquino,https://www.gowasps.com/sports/msoc/2024-25/bios/beron_de_astrada_aquino_francisco_arcp,M,,,,Emory & Henry,II,2024
7,Fabian Maqueira,https://www.gowasps.com/sports/msoc/2024-25/bios/maqueira_fabian_te33,F,,,,Emory & Henry,II,2024
8,Greg Ona Vera,https://www.gowasps.com/sports/msoc/2024-25/bios/ona_vera_greg_8cut,M,,,,Emory & Henry,II,2024
9,A.J. Dale,https://www.gowasps.com/sports/msoc/2024-25/bios/dale_a.j._6vy2,F,,,,Emory & Henry,II,2024
10,Corey Britt,https://www.gowasps.com/sports/msoc/2024-25/bios/britt_corey_l2dt,M,,,,Emory & Henry,II,2024
11,Aaron Dalton,https://www.gowasps.com/sports/msoc/2024-25/bios/dalton_aaron_zab1,D,,,,Emory & Henry,II,2024
12,Jackson Hughes,https://www.gowasps.com/sports/msoc/2024-25/bios/hughes_jackson_grt4,F,,,,Emory & Henry,II,2024
13,Juan Gomez-Rios,https://www.gowasps.com/sports/msoc/2024-25/bios/gomez-rios_juan_697h,D,,,,Emory & Henry,II,2024
